energy,beta
20,1.4819e-10
21,1.2044e-10
22,9.8833e-11
23,8.1818e-11
24,6.8253e-11
25,5.736e-11
26,4.8518e-11
27,4.1299e-11
28,3.5361e-11
29,3.0435e-11
30,2.633e-11
31,2.2881e-11
32,1.9973e-11
33,1.7508e-11
34,1.5405e-11
35,1.3605e-11
36,1.2056e-11
37,1.0719e-11
38,9.5599e-12
39,8.5515e-12
40,7.671e-12
41,6.8986e-12
42,6.2198e-12
43,5.6216e-12
44,5.0927e-12
45,4.6237e-12
46,4.2066e-12
47,3.8348e-12
48,3.5027e-12
49,3.2053e-12
50,2.9385e-12
51,2.6982e-12
52,2.4817e-12
53,2.2862e-12
54,2.1094e-12
55,1.9491e-12
56,1.8035e-12
57,1.6711e-12
58,1.5505e-12
59,1.4405e-12
60,1.3399e-12
61,1.2477e-12
62,1.1633e-12
63,1.0857e-12
64,1.0145e-12
65,9.4891e-13
66,8.8847e-13
67,8.3271e-13
68,7.812e-13
69,7.3355e-13
70,6.8944e-13
71,6.4855e-13
72,6.1061e-13
73,5.7538e-13
74,5.426e-13
75,5.1208e-13
76,4.8367e-13
77,4.5717e-13
78,4.3244e-13
79,4.0933e-13
80,3.8774e-13
