energy,delta
20,5.4869e-07
21,4.9765e-07
22,4.5341e-07
23,4.1482e-07
24,3.8095e-07
25,3.5107e-07
26,3.2457e-07
27,3.0097e-07
28,2.7984e-07
29,2.6087e-07
30,2.4376e-07
31,2.2829e-07
32,2.1424e-07
33,2.0145e-07
34,1.8977e-07
35,1.7907e-07
36,1.6926e-07
37,1.6023e-07
38,1.5191e-07
39,1.4422e-07
40,1.3709e-07
41,1.3049e-07
42,1.2435e-07
43,1.1863e-07
44,1.133e-07
45,1.0832e-07
46,1.0366e-07
47,9.9293e-08
48,9.5199e-08
49,9.1352e-08
50,8.7734e-08
51,8.4327e-08
52,8.1114e-08
53,7.8082e-08
54,7.5216e-08
55,7.2506e-08
56,6.9939e-08
57,6.7506e-08
58,6.5198e-08
59,6.3007e-08
60,6.0924e-08
61,5.8942e-08
62,5.7056e-08
63,5.5259e-08
64,5.3546e-08
65,5.1911e-08
66,5.0349e-08
67,4.8858e-08
68,4.7431e-08
69,4.6066e-08
70,4.4759e-08
71,4.3507e-08
72,4.2307e-08
73,4.1156e-08
74,4.0051e-08
75,3.899e-08
76,3.797e-08
77,3.6991e-08
78,3.6048e-08
79,3.5141e-08
80,3.4268e-08
