energy,delta
20,5.4397e-07
21,4.9337e-07
22,4.4951e-07
23,4.1125e-07
24,3.7768e-07
25,3.4805e-07
26,3.2178e-07
27,2.9837e-07
28,2.7743e-07
29,2.5862e-07
30,2.4166e-07
31,2.2632e-07
32,2.1239e-07
33,1.9971e-07
34,1.8813e-07
35,1.7753e-07
36,1.678e-07
37,1.5885e-07
38,1.506e-07
39,1.4297e-07
40,1.3591e-07
41,1.2936e-07
42,1.2327e-07
43,1.1761e-07
44,1.1232e-07
45,1.0738e-07
46,1.0276e-07
47,9.8437e-08
48,9.4377e-08
49,9.0564e-08
50,8.6977e-08
51,8.3599e-08
52,8.0414e-08
53,7.7408e-08
54,7.4567e-08
55,7.188e-08
56,6.9335e-08
57,6.6924e-08
58,6.4636e-08
59,6.2463e-08
60,6.0398e-08
61,5.8434e-08
62,5.6564e-08
63,5.4782e-08
64,5.3083e-08
65,5.1463e-08
66,4.9915e-08
67,4.8436e-08
68,4.7021e-08
69,4.5668e-08
70,4.4373e-08
71,4.3132e-08
72,4.1942e-08
73,4.08e-08
74,3.9705e-08
75,3.8653e-08
76,3.7643e-08
77,3.6671e-08
78,3.5737e-08
79,3.4838e-08
80,3.3972e-08
