energy,beta
20,1.8256e-10
21,1.4839e-10
22,1.2179e-10
23,1.0083e-10
24,8.4124e-11
25,7.0703e-11
26,5.9808e-11
27,5.0912e-11
28,4.3594e-11
29,3.7523e-11
30,3.2462e-11
31,2.8211e-11
32,2.4627e-11
33,2.1588e-11
34,1.8996e-11
35,1.6777e-11
36,1.4867e-11
37,1.3218e-11
38,1.1788e-11
39,1.0545e-11
40,9.4593e-12
41,8.5068e-12
42,7.6698e-12
43,6.9321e-12
44,6.2799e-12
45,5.7016e-12
46,5.1872e-12
47,4.7287e-12
48,4.3192e-12
49,3.9525e-12
50,3.6235e-12
51,3.3272e-12
52,3.0602e-12
53,2.8191e-12
54,2.601e-12
55,2.4033e-12
56,2.2238e-12
57,2.0606e-12
58,1.9118e-12
59,1.7761e-12
60,1.652e-12
61,1.5384e-12
62,1.4343e-12
63,1.3387e-12
64,1.2508e-12
65,1.1699e-12
66,1.0954e-12
67,1.0266e-12
68,9.6311e-13
69,9.0436e-13
70,8.4997e-13
71,7.9955e-13
72,7.5277e-13
73,7.0931e-13
74,6.6891e-13
75,6.3131e-13
76,5.9627e-13
77,5.636e-13
78,5.3311e-13
79,5.046e-13
80,4.7799e-13
