energy,beta
20,9.0022e-09
21,7.4069e-09
22,6.1499e-09
23,5.1485e-09
24,4.3403e-09
25,3.6839e-09
26,3.1454e-09
27,2.701e-09
28,2.3315e-09
29,2.0222e-09
30,1.7624e-09
31,1.5422e-09
32,1.3551e-09
33,1.1956e-09
34,1.0585e-09
35,9.4047e-10
36,8.3818e-10
37,7.4938e-10
38,6.7199e-10
39,6.0422e-10
40,5.4476e-10
41,4.9227e-10
42,4.4592e-10
43,4.0488e-10
44,3.684e-10
45,3.3592e-10
46,3.0688e-10
47,2.8089e-10
48,2.5758e-10
49,2.3663e-10
50,2.1776e-10
51,2.0068e-10
52,1.8524e-10
53,1.7124e-10
54,1.5854e-10
55,1.4698e-10
56,1.3644e-10
57,1.2682e-10
58,1.1803e-10
59,1.0998e-10
60,1.026e-10
61,9.582e-11
62,8.9584e-11
63,8.3844e-11
64,7.853e-11
65,7.3649e-11
66,6.9135e-11
67,6.4959e-11
68,6.1091e-11
69,5.7505e-11
70,5.4177e-11
71,5.108e-11
72,4.82e-11
73,4.5519e-11
74,4.3021e-11
75,4.069e-11
76,3.8515e-11
77,3.6481e-11
78,3.458e-11
79,3.2799e-11
80,3.1131e-11
