energy,delta
20,1.5914e-06
21,1.4428e-06
22,1.3142e-06
23,1.202e-06
24,1.1036e-06
25,1.0168e-06
26,9.3987e-07
27,8.7134e-07
28,8.1004e-07
29,7.55e-07
30,7.0538e-07
31,6.6049e-07
32,6.1976e-07
33,5.8269e-07
34,5.4884e-07
35,5.1786e-07
36,4.8943e-07
37,4.6328e-07
38,4.3917e-07
39,4.169e-07
40,3.9628e-07
41,3.7715e-07
42,3.5938e-07
43,3.4283e-07
44,3.274e-07
45,3.1299e-07
46,2.9951e-07
47,2.8688e-07
48,2.7504e-07
49,2.6391e-07
50,2.5345e-07
51,2.436e-07
52,2.343e-07
53,2.2554e-07
54,2.1725e-07
55,2.0941e-07
56,2.0199e-07
57,1.9496e-07
58,1.8829e-07
59,1.8195e-07
60,1.7593e-07
61,1.7021e-07
62,1.6476e-07
63,1.5956e-07
64,1.5461e-07
65,1.4989e-07
66,1.4538e-07
67,1.4106e-07
68,1.3694e-07
69,1.33e-07
70,1.2922e-07
71,1.2561e-07
72,1.2214e-07
73,1.1881e-07
74,1.1562e-07
75,1.1256e-07
76,1.0961e-07
77,1.0678e-07
78,1.0406e-07
79,1.0144e-07
80,9.8919e-08
