energy,beta
20,2.1581e-10
21,1.7553e-10
22,1.4415e-10
23,1.1942e-10
24,9.9684e-11
25,8.3825e-11
26,7.0944e-11
27,6.0422e-11
28,5.1761e-11
29,4.4573e-11
30,3.8578e-11
31,3.354e-11
32,2.9291e-11
33,2.5686e-11
34,2.261e-11
35,1.9976e-11
36,1.7708e-11
37,1.5749e-11
38,1.405e-11
39,1.2572e-11
40,1.1281e-11
41,1.0148e-11
42,9.1524e-12
43,8.2743e-12
44,7.4978e-12
45,6.8092e-12
46,6.1964e-12
47,5.6501e-12
48,5.1621e-12
49,4.7249e-12
50,4.3326e-12
51,3.9792e-12
52,3.6606e-12
53,3.373e-12
54,3.1127e-12
55,2.8767e-12
56,2.6623e-12
57,2.4674e-12
58,2.2897e-12
59,2.1275e-12
60,1.9793e-12
61,1.8435e-12
62,1.719e-12
63,1.6047e-12
64,1.4995e-12
65,1.4028e-12
66,1.3137e-12
67,1.2314e-12
68,1.1554e-12
69,1.0851e-12
70,1.0199e-12
71,9.5958e-13
72,9.0356e-13
73,8.5153e-13
74,8.031e-13
75,7.5801e-13
76,7.1604e-13
77,6.7689e-13
78,6.4036e-13
79,6.0619e-13
80,5.7429e-13
