energy,delta
20,5.8515e-07
21,5.3071e-07
22,4.8352e-07
23,4.4236e-07
24,4.0625e-07
25,3.7438e-07
26,3.4612e-07
27,3.2094e-07
28,2.9841e-07
29,2.7818e-07
30,2.5993e-07
31,2.4343e-07
32,2.2845e-07
33,2.1481e-07
34,2.0235e-07
35,1.9095e-07
36,1.8048e-07
37,1.7086e-07
38,1.6198e-07
39,1.5378e-07
40,1.4618e-07
41,1.3914e-07
42,1.3259e-07
43,1.2649e-07
44,1.2081e-07
45,1.155e-07
46,1.1053e-07
47,1.0587e-07
48,1.0151e-07
49,9.7406e-08
50,9.3548e-08
51,8.9915e-08
52,8.649e-08
53,8.3256e-08
54,8.0201e-08
55,7.731e-08
56,7.4573e-08
57,7.1979e-08
58,6.9518e-08
59,6.7182e-08
60,6.496e-08
61,6.2848e-08
62,6.0837e-08
63,5.892e-08
64,5.7093e-08
65,5.535e-08
66,5.3685e-08
67,5.2094e-08
68,5.0573e-08
69,4.9118e-08
70,4.7724e-08
71,4.6389e-08
72,4.511e-08
73,4.3882e-08
74,4.2704e-08
75,4.1573e-08
76,4.0486e-08
77,3.9441e-08
78,3.8436e-08
79,3.7469e-08
80,3.6538e-08
